date,new_price_usd,used_price_usd,used_source
2026-05-09,11804.00,,
2026-05-10,11804.00,,
2026-05-11,11804.00,,
2026-05-12,11804.00,,
2026-05-13,11804.00,,
2026-05-14,11804.00,,
2026-05-15,11804.00,,
2026-05-16,11804.00,,
2026-05-17,11804.00,,
2026-05-18,11804.00,,
2026-05-19,11804.00,,
2026-05-20,11804.00,,
2026-05-21,11804.00,,
2026-05-22,11804.00,,
2026-05-23,11804.00,,
2026-05-24,11804.00,,
2026-05-25,11804.00,,
2026-05-26,11804.00,,
2026-05-27,11804.00,,
2026-05-28,11804.00,,
2026-05-29,11804.00,,
2026-05-30,11804.00,,
2026-05-31,11804.00,,
2026-06-01,11804.00,,
2026-06-02,11804.00,,
2026-06-03,11804.00,,
2026-06-04,11804.00,,
2026-06-05,11804.00,,
2026-06-06,11804.00,,
2026-06-07,11804.00,,
2026-06-08,11804.00,,
2026-06-09,11804.00,,
2026-06-10,11804.00,,
2026-06-11,11804.00,,
2026-06-12,11804.00,,
2026-06-13,11804.00,,
2026-06-14,11804.00,,
2026-06-15,11804.00,,
2026-06-16,11804.00,,
2026-06-17,11804.00,,
2026-06-18,11804.00,,
2026-06-19,11804.00,,
2026-06-20,11804.00,,
2026-06-21,11804.00,,
2026-06-22,11804.00,,
2026-06-23,11804.00,,
2026-06-24,11804.00,,
2026-06-25,11804.00,,
2026-06-26,11804.00,,
2026-06-27,11804.00,,
2026-06-28,11804.00,,
2026-06-29,11804.00,,
2026-06-30,11804.00,,
2026-07-01,11804.00,,
2026-07-02,11804.00,,
2026-07-03,11804.00,,
2026-07-04,11804.00,,
2026-07-05,11804.00,,
2026-07-06,11804.00,,
2026-07-07,11804.00,,
2026-07-08,11804.00,,
2026-07-09,11804.00,,
2026-07-10,11804.00,,
2026-07-11,11804.00,,
2026-07-12,11804.00,,
2026-07-13,11804.00,,
2026-07-14,11804.00,,
2026-07-15,11804.00,,
2026-07-16,11804.00,,
2026-07-17,11804.00,,
2026-07-18,11804.00,,
2026-07-19,11804.00,,
2026-07-20,11804.00,,
