date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-12,1.52,45.6,BTC+FB+NMC,216Th,3564,0.06
2026-05-13,1.51,45.3,BTC+FB+NMC,216Th,3564,0.06
2026-05-14,1.36,40.8,BTC+FB+NMC,216Th,3564,0.06
2026-05-15,1.53,45.9,BTC+FB+NMC,216Th,3564,0.06
2026-05-16,1.07,32.1,BTC+FB+NMC,216Th,3564,0.06
2026-05-17,1.07,32.1,BTC+FB+NMC,216Th,3564,0.06
2026-05-18,1.07,32.1,BTC+FB+NMC,216Th,3564,0.06
2026-05-19,0.86,25.8,BTC+FB+NMC,216Th,3564,0.06
2026-05-20,0.82,24.6,BTC+FB+NMC,216Th,3564,0.06
2026-05-21,0.89,26.7,BTC+FB+NMC,216Th,3564,0.06
2026-05-22,0.91,27.3,BTC+FB+NMC,216Th,3564,0.06
2026-05-23,0.91,27.3,BTC+FB+NMC,216Th,3564,0.06
2026-05-24,0.91,27.3,BTC+FB+NMC,216Th,3564,0.06
2026-05-25,0.85,25.5,BTC+FB+NMC,216Th,3564,0.06
2026-05-26,0.82,24.6,BTC+FB+NMC,216Th,3564,0.06
2026-05-27,0.73,21.9,BTC+FB+NMC,216Th,3564,0.06
2026-05-28,0.6,18.0,BTC+FB+NMC,216Th,3564,0.06
2026-05-29,0.49,14.7,BTC+FB+NMC,216Th,3564,0.06
2026-05-30,0.49,14.7,BTC+FB+NMC,216Th,3564,0.06
2026-05-31,0.49,14.7,BTC+FB+NMC,216Th,3564,0.06
2026-06-01,0.37,11.1,BTC+FB+NMC,216Th,3564,0.06
2026-06-02,0.37,11.1,BTC+FB+NMC,216Th,3564,0.06
2026-06-03,0.06,1.8,BTC+FB+NMC,216Th,3564,0.06
2026-06-14,0.22,6.6,BTC+FB+NMC,216Th,3564,0.06
2026-06-15,0.33,9.9,BTC+FB+NMC,216Th,3564,0.06
2026-06-16,0.36,10.8,BTC+FB+NMC,216Th,3564,0.06
2026-06-17,0.42,12.6,BTC+FB+NMC,216Th,3564,0.06
2026-06-18,0.42,12.6,BTC+FB+NMC,216Th,3564,0.06
2026-06-19,0.42,12.6,BTC+FB+NMC,216Th,3564,0.06
2026-06-20,0.42,12.6,BTC+FB+NMC,216Th,3564,0.06
2026-06-21,0.42,12.6,BTC+FB+NMC,216Th,3564,0.06
2026-06-22,0.42,12.6,BTC+FB+NMC,216Th,3564,0.06
2026-06-23,0.42,12.6,BTC+FB+NMC,216Th,3564,0.06
